age,10th percentage,12th/diploma percentage,btech cgpa,gender,dropper?,preparation level for interview,internships done?,placed?,board.CBSE,board.CHSE,board.ICSE,hobby.nothing_particular,hobby.Art,hobby.Coding,hobby.Dance,hobby.Music,hobby.Others,hobby.Sports,branch.CSE,branch.Chemical,branch.Civil,branch.ETC,branch.Electrical,branch.Mechanical,branch.Mettalurgy,branch.Production,interest.Banking,interest.MBA,interest.MS,interest.MTech,interest.Others
22,85.0,69.5,6.68,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
21,89.0,67.0,8.1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
22,95.0,80.4,7.89,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,95.0,85.2,7.5,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
22,85.0,86.2,7.9,1,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20,89.3,90.0,7.8,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20,87.4,87.0,7.91,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20,88.0,60.8,6.38,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
21,89.5,76.16,7.88,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
21,85.0,73.5,7.99,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,95.0,86.0,6.6,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21,89.3,91.2,8.15,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
22,95.0,87.4,7.4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
22,95.0,82.6,8.7,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
22,80.6,72.5,7.98,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
21,89.67,78.83,8.32,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
20,81.5,77.33,7.62,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,87.4,71.6,7.24,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
